batter, batter_name, des, description, game_pk, hc_x, hc_y, hit_angle, hit_distance, hit_speed, inning, outs, pitcher, pitcher_name, play_id, team_batting, team_fielding, date
624424, Conforto, Michael, home_run, hit_into_play, 745445, 183.42, 38.88, 29, 420, 105.9, 9, 2, 663158, Grinch, Unknown, Unknown, Unknown, 2024-03-28
642708, Rosario, Amed, double, hit_into_play, 745116, 94.21, 30.5, 27, 401, 102.6, 9, 1, 641835, Grinch, Unknown, Unknown, Unknown, 2024-03-28
669720, Hays, Austin, field_out, hit_into_play, 747060, 133.2, 57.84, 22, 349, 102, 8, 2, 643256, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665862, Chisholm Jr., Jazz, field_out, hit_into_play, 746089, 136.72, 75.24, 43, 308, 93.1, 7, 1, 676702, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665828, Cabrera, Oswaldo, home_run, hit_into_play, 746418, 203.35, 65.37, 25, 381, 99.6, 6, 1, 606160, Grinch, Unknown, Unknown, Unknown, 2024-03-28
606466, Marte, Ketel, field_out, hit_into_play, 747224, 77.71, 61.49, 27, 359, 92.8, 4, 1, 656222, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641933, O'Neill, Tyler, home_run, hit_into_play, 745283, 176.75, 47.84, 28, 394, 104.3, 8, 0, 675989, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641355, Bellinger, Cody, field_out, hit_into_play, 745039, 186.22, 65.74, 21, 361, 102.4, 1, 2, 543135, Grinch, Unknown, Unknown, Unknown, 2024-03-28
666969, García, Adolis, home_run, hit_into_play, 745039, 30.02, 64.12, 31, 407, 104.5, 6, 1, 622075, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668804, Reynolds, Bryan, double, hit_into_play, 746089, 217, 83.89, 25, 322, 97.1, 7, 1, 669622, Grinch, Unknown, Unknown, Unknown, 2024-03-28
650402, Torres, Gleyber, field_out, hit_into_play, 746418, 147.28, 80, 39, 301, 91.1, 8, 1, 605463, Grinch, Unknown, Unknown, Unknown, 2024-03-28
670032, Lopez, Nicky, field_out, hit_into_play, 746821, 72.28, 90.17, 24, 301, 89.9, 8, 2, 605177, Grinch, Unknown, Unknown, Unknown, 2024-03-28
500743, Rojas, Miguel, field_out, hit_into_play, 746165, 140.92, 72.41, 36, 317, 90.5, 8, 2, 669461, Grinch, Unknown, Unknown, Unknown, 2024-03-28
666624, Morel, Christopher, triple, hit_into_play, 745039, 55.52, 83.49, 23, 372, 101.6, 2, 0, 543135, Grinch, Unknown, Unknown, Unknown, 2024-03-28
687231, Hernaiz, Darell, field_out, hit_into_play, 745687, 124.68, 63.11, 34, 337, 97.4, 8, 2, 682120, Grinch, Unknown, Unknown, Unknown, 2024-03-28
605204, Davis, J.D., field_out, hit_into_play, 745687, 67.78, 92.76, 23, 300, 89.4, 7, 1, 669212, Grinch, Unknown, Unknown, Unknown, 2024-03-28
650559, De La Cruz, Bryan, field_out, hit_into_play, 746089, 202.63, 83.7, 34, 341, 100.2, 12, 2, 669796, Grinch, Unknown, Unknown, Unknown, 2024-03-28
660688, Ruiz, Keibert, field_out, hit_into_play, 746737, 155.13, 56.86, 21, 359, 98.9, 7, 1, 641941, Grinch, Unknown, Unknown, Unknown, 2024-03-28
658668, Olivares, Edward, home_run, hit_into_play, 746089, 86.24, 36.44, 26, 413, 102.4, 7, 0, 677053, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641598, Garver, Mitch, double, hit_into_play, 745283, 31.43, 104.35, 26, 328, 93.8, 8, 2, 455119, Grinch, Unknown, Unknown, Unknown, 2024-03-28
545361, Trout, Mike, home_run, hit_into_play, 747060, 89.49, 40.39, 37, 402, 102.5, 1, 2, 669203, Grinch, Unknown, Unknown, Unknown, 2024-03-28
666397, Julien, Edouard, field_out, hit_into_play, 746335, 75.7, 62.07, 32, 360, 95.4, 7, 2, 623433, Grinch, Unknown, Unknown, Unknown, 2024-03-28
694497, Carter, Evan, field_out, hit_into_play, 745039, 173.63, 64.1, 33, 370, 96.6, 7, 0, 643410, Grinch, Unknown, Unknown, Unknown, 2024-03-28
671289, Freeman, Tyler, field_out, hit_into_play, 745687, 88.63, 68.03, 22, 337, 95.5, 5, 2, 666205, Grinch, Unknown, Unknown, Unknown, 2024-03-28
606192, Hernández, Teoscar, double, hit_into_play, 746165, 170.3, 70.55, 20, 337, 102.7, 6, 1, 669467, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665750, Taveras, Leody, field_out, hit_into_play, 745039, 185.76, 79.87, 33, 329, 88.8, 7, 1, 643410, Grinch, Unknown, Unknown, Unknown, 2024-03-28
608324, Bregman, Alex, field_out, hit_into_play, 746418, 73.4, 82.67, 44, 316, 98.7, 1, 1, 641482, Grinch, Unknown, Unknown, Unknown, 2024-03-28
672695, Perdomo, Geraldo, field_out, hit_into_play, 747224, 203.45, 74.46, 26, 360, 95.6, 6, 1, 680767, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665750, Taveras, Leody, field_out, hit_into_play, 745039, 61.17, 85.35, 29, 324, 88.3, 9, 0, 640470, Grinch, Unknown, Unknown, Unknown, 2024-03-28
672580, Garcia, Maikel, field_out, hit_into_play, 746335, 129.14, 87.05, 15, 336, 105.2, 8, 2, 592779, Grinch, Unknown, Unknown, Unknown, 2024-03-28
669004, Melendez, MJ, double, hit_into_play, 746335, 212.41, 96.11, 17, 330, 112.9, 2, 0, 641154, Grinch, Unknown, Unknown, Unknown, 2024-03-28
663656, Tucker, Kyle, field_out, hit_into_play, 746418, 82.73, 68.36, 19, 342, 99.8, 7, 1, 642528, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641680, Heim, Jonah, single, hit_into_play, 745039, 160.49, 73.43, 16, 324, 103.6, 10, 2, 592767, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641857, McMahon, Ryan, double, hit_into_play, 747224, 141.93, 33, 24, 410, 105.4, 2, 0, 668678, Grinch, Unknown, Unknown, Unknown, 2024-03-28
622761, Mateo, Jorge, field_out, hit_into_play, 747060, 43.68, 75.88, 35, 364, 103.7, 3, 2, 660761, Grinch, Unknown, Unknown, Unknown, 2024-03-28
592696, Rosario, Eddie, home_run, hit_into_play, 746737, 207.92, 64.31, 35, 389, 101.3, 7, 2, 641941, Grinch, Unknown, Unknown, Unknown, 2024-03-28
677587, Rocchio, Brayan, field_out, hit_into_play, 745687, 81.77, 73.71, 28, 329, 90.1, 8, 2, 547184, Grinch, Unknown, Unknown, Unknown, 2024-03-28
691026, Winn, Masyn, field_out, hit_into_play, 746165, 143.79, 66.79, 18, 331, 95.1, 8, 1, 642232, Grinch, Unknown, Unknown, Unknown, 2024-03-28
682998, Carroll, Corbin, field_out, hit_into_play, 747224, 137.29, 44.81, 21, 382, 100.6, 7, 0, 680767, Grinch, Unknown, Unknown, Unknown, 2024-03-28
694384, Schanuel, Nolan, field_out, hit_into_play, 747060, 150.71, 68.61, 29, 329, 87.3, 2, 1, 669203, Grinch, Unknown, Unknown, Unknown, 2024-03-28
650333, Arraez, Luis, field_out, hit_into_play, 746089, 129.09, 68.9, 34, 323, 85.4, 2, 2, 656605, Grinch, Unknown, Unknown, Unknown, 2024-03-28
690993, Keith, Colt, field_out, hit_into_play, 746821, 79.79, 84.15, 21, 308, 96.3, 2, 1, 676979, Grinch, Unknown, Unknown, Unknown, 2024-03-28
672275, Bailey, Patrick, field_out, hit_into_play, 745445, 94, 70.73, 40, 328, 95.5, 3, 0, 506433, Grinch, Unknown, Unknown, Unknown, 2024-03-28
608070, Ramírez, José, triple, hit_into_play, 745687, 197.22, 65.75, 26, 372, 96.9, 9, 0, 547184, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668670, Rogers, Jake, field_out, hit_into_play, 746821, 83.1, 64.66, 42, 348, 104.5, 2, 2, 676979, Grinch, Unknown, Unknown, Unknown, 2024-03-28
656775, Mullins, Cedric, home_run, hit_into_play, 747060, 137.83, 36.75, 26, 403, 103.1, 7, 0, 542585, Grinch, Unknown, Unknown, Unknown, 2024-03-28
623993, Santander, Anthony, home_run, hit_into_play, 747060, 39.64, 46.36, 26, 431, 107.1, 4, 2, 660761, Grinch, Unknown, Unknown, Unknown, 2024-03-28
621439, Buxton, Byron, field_out, hit_into_play, 746335, 89.46, 61.76, 37, 351, 98.5, 3, 0, 666142, Grinch, Unknown, Unknown, Unknown, 2024-03-28
673548, Suzuki, Seiya, field_out, hit_into_play, 745039, 156.79, 81.55, 39, 302, 88, 4, 0, 543135, Grinch, Unknown, Unknown, Unknown, 2024-03-28
605361, Martini, Nick, home_run, hit_into_play, 746737, 208.83, 57.1, 29, 405, 104.9, 2, 1, 680686, Grinch, Unknown, Unknown, Unknown, 2024-03-28
676694, Meyers, Jake, home_run, hit_into_play, 746418, 17.54, 69.23, 28, 415, 110, 2, 0, 641482, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668942, Rojas, Josh, field_out, hit_into_play, 745283, 207.13, 89.59, 37, 335, 93.2, 3, 0, 678394, Grinch, Unknown, Unknown, Unknown, 2024-03-28
543807, Springer, George, home_run, hit_into_play, 745116, 59.43, 55.1, 26, 392, 100.3, 4, 0, 621107, Grinch, Unknown, Unknown, Unknown, 2024-03-28
572233, Walker, Christian, double, hit_into_play, 747224, 96.68, 17.98, 17, 395, 113.2, 3, 0, 607536, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665862, Chisholm Jr., Jazz, double, hit_into_play, 746089, 173.19, 54.06, 24, 375, 100.8, 3, 1, 656605, Grinch, Unknown, Unknown, Unknown, 2024-03-28
643217, Benintendi, Andrew, field_out, hit_into_play, 746821, 60.51, 96.6, 38, 301, 88.4, 3, 1, 669373, Grinch, Unknown, Unknown, Unknown, 2024-03-28
624585, Soler, Jorge, field_out, hit_into_play, 745445, 161.83, 68.07, 35, 337, 96.9, 3, 2, 506433, Grinch, Unknown, Unknown, Unknown, 2024-03-28
680977, Donovan, Brendan, field_out, hit_into_play, 746165, 173.4, 69.03, 33, 342, 91.2, 3, 2, 607192, Grinch, Unknown, Unknown, Unknown, 2024-03-28
605141, Betts, Mookie, home_run, hit_into_play, 746165, 30.62, 64.08, 28, 406, 104.6, 3, 0, 571945, Grinch, Unknown, Unknown, Unknown, 2024-03-28
670541, Alvarez, Yordan, field_out, hit_into_play, 746418, 138.8, 75.08, 36, 309, 88.1, 2, 1, 641482, Grinch, Unknown, Unknown, Unknown, 2024-03-28
575929, Contreras, Willson, field_out, hit_into_play, 746165, 78.89, 86.13, 40, 302, 88.7, 9, 2, 642232, Grinch, Unknown, Unknown, Unknown, 2024-03-28
521692, Perez, Salvador, field_out, hit_into_play, 746335, 131.56, 79.16, 39, 322, 90.4, 4, 0, 641154, Grinch, Unknown, Unknown, Unknown, 2024-03-28
608369, Seager, Corey, field_out, hit_into_play, 745039, 103.14, 66.78, 41, 332, 100.6, 4, 0, 657006, Grinch, Unknown, Unknown, Unknown, 2024-03-28
666182, Bichette, Bo, field_out, hit_into_play, 745116, 130.93, 55.45, 35, 356, 94.7, 4, 1, 621107, Grinch, Unknown, Unknown, Unknown, 2024-03-28
502671, Goldschmidt, Paul, home_run, hit_into_play, 746165, 42.1, 59.49, 28, 401, 101.8, 4, 0, 607192, Grinch, Unknown, Unknown, Unknown, 2024-03-28
457759, Turner, Justin, field_out, hit_into_play, 745116, 102.71, 56.34, 39, 357, 96, 4, 2, 621107, Grinch, Unknown, Unknown, Unknown, 2024-03-28
677942, Alexander, Blaze, field_out, hit_into_play, 747224, 188.45, 87.58, 45, 316, 99.4, 3, 0, 607536, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641584, Fraley, Jake, double, hit_into_play, 746737, 80.06, 58.1, 25, 366, 100.1, 3, 1, 680686, Grinch, Unknown, Unknown, Unknown, 2024-03-28
646240, Devers, Rafael, home_run, hit_into_play, 745283, 77.49, 44.55, 27, 400, 104.4, 3, 2, 622491, Grinch, Unknown, Unknown, Unknown, 2024-03-28
518692, Freeman, Freddie, home_run, hit_into_play, 746165, 148.1, 35.18, 33, 409, 101.7, 3, 0, 571945, Grinch, Unknown, Unknown, Unknown, 2024-03-28
596115, Story, Trevor, field_out, hit_into_play, 745283, 182.75, 75.98, 37, 335, 98.1, 3, 2, 622491, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668804, Reynolds, Bryan, home_run, hit_into_play, 746089, 65.98, 44.08, 24, 406, 107.5, 3, 1, 666200, Grinch, Unknown, Unknown, Unknown, 2024-03-28
663898, Rodgers, Brendan, field_out, hit_into_play, 747224, 117.39, 55.92, 34, 354, 98.1, 4, 0, 668678, Grinch, Unknown, Unknown, Unknown, 2024-03-28
