"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"KC","2024-06-18","78.5","-1.87","5.02","Arraez, Luis",650333,605400,"field_out","hit_into_play",,,,,8,"Luis Arraez flies out to left fielder Brandon Marsh.   Tyler Wade to 2nd.","R","L","R","PHI","SD","X",7,"fly_ball",2,2,2024,"1.27","-0.6","-0.1","1.8",,,642180,0,6,"Top",79.47,59.57,,,596117,,,1.479922035009976,-114.28499023634767,1.0381640357622888,10.754085288106536,22.366020902135517,-37.85241140302958,"3.2","1.5",357,"94.7",36,"78.9",2660,"6.7",745563,605400,596117,547180,681082,664761,607208,669016,665506,592206,"53.78",0.126,0.245,"0",1,0,0,3,44,5,"Knuckle Curve",1,2,2,1,2,1,2,1,"Standard","Standard",59,"0.015","-0.365",67.57566973291893,"6.51007"
"ST","2024-06-18","80.9","-2.48","5.58","Dubón, Mauricio",643289,686563,"field_out","hit_into_play",,,,,3,"Mauricio Dubón flies out to center fielder Luis Robert Jr.","R","R","R","CWS","HOU","X",8,"fly_ball",1,2,2024,"0.97","0.44","0.81","2.86",,,572138,1,7,"Top",110.48,55.07,,,686676,,,5.473316387768793,-117.82034882174317,-0.3232419087448536,8.17001393083114,20.71620884084073,-28.18742360435931,"3.38","1.6",357,"93.3",35,"80.9",2637,"6.1",746783,686563,686676,683734,664901,672820,657557,643217,673357,502054,"54.4",0.066,0.128,"0",1,0,0,3,49,5,"Sweeper",2,0,0,2,0,2,0,2,"Standard","Standard",63,"0.042","-0.222",72.86306061600493,"7.77673"
"FC","2024-06-18","89.8","-1.67","5.52","Devers, Rafael",646240,605135,"double","hit_into_play",,,,,5,"Rafael Devers doubles (15) on a sharp fly ball to center fielder Daulton Varsho.","R","L","R","TOR","BOS","X",8,"fly_ball",1,1,2024,"-0.61","0.64","-0.09","2.47",,,,1,6,"Top",83.85,48.6,,,672386,,,5.260333171554429,-130.79455243717783,-2.9914520864214267,-8.107853760886792,26.013604609563366,-24.352514759650944,"3.37","1.53",384,"106",23,"90.8",2212,"6.7",744917,605135,672386,665489,687462,676391,643396,676914,662139,680718,"53.78",0.88,1.609,"1.25",1,1,1,6,43,3,"Cutter",2,1,1,2,1,2,1,2,"Infield shade","Standard",213,"-0.068","0.418",79.80911062825803,"7.28831"
"CU","2024-06-18","82.8","3.6","5.47","Hayes, Ke'Bryan",663647,666157,"home_run","hit_into_play",,,,,7,"Ke'Bryan Hayes homers (3) on a fly ball to left field.","R","R","L","PIT","CIN","X",,"fly_ball",2,2,2024,"-1.07","0.27","-0.48","1.89",,,,1,7,"Bot",45.6,66.46,,,571912,,,-7.213323370583496,-120.46291074065205,-2.1669680110727985,-8.920008531509017,24.49447365640901,-29.37205975078914,"3.27","1.54",382,"100.3",26,"82.6",2685,"6.3",745488,666157,571912,600869,663697,669289,682829,668715,656413,641584,"54.23",0.514,0.863,"2",1,0,3,6,49,5,"Curveball",0,2,0,2,2,1,1,2,"Standard","Standard",304,"0.134","1.019",76.70403732555484,"7.3209"
"CH","2024-06-18","87.1","-1.58","4.69","Suzuki, Seiya",673548,657277,"field_out","hit_into_play",,,,,5,"Seiya Suzuki flies out sharply to center fielder Heliot Ramos.","R","R","R","CHC","SF","X",8,"fly_ball",1,0,2024,"-1.31","0.12","0.02","2.61",623520,665804,641355,2,5,"Bot",120.5,44.4,,,592200,,,6.641665102379125,-126.7049831518366,0.9300764603107967,-15.470449961299874,24.086892418747006,-31.255343143098393,"3.19","1.47",381,"104.7",40,"88.7",1551,"7.2",746867,657277,592200,527038,642731,656305,605113,596103,671218,573262,"53.34",0.371,0.724,"0",1,0,0,6,42,2,"Changeup",2,2,2,2,2,2,2,2,"Strategic","Standard",260,"-0.094","-0.868",80.42115062734071,"7.19599"
"SI","2024-06-18","91.6","-1.62","5.09","Campusano, Luis",669134,605400,"home_run","hit_into_play",,,,,6,"Luis Campusano homers (5) on a fly ball to center field.   David Peralta scores.","R","R","R","PHI","SD","X",,"fly_ball",1,1,2024,"-1.41","0.79","0.28","2.25",,,444482,0,6,"Top",130.27,34.14,,,596117,,,7.954321431958786,-133.18002380193883,-3.015153412088881,-18.512891946327233,28.487278647387797,-22.370497935098914,"3.41","1.57",408,"102",31,"92.6",2241,"6.9",745563,605400,596117,547180,681082,664761,607208,669016,665506,592206,"53.56",0.683,1.293,"2",1,0,3,6,42,3,"Sinker",1,0,0,1,2,1,2,1,"Standard","Standard",228,"-0.274","1.57",73.44554596935666,"8.32573"
"SL","2024-06-18","83.7","-2.04","5.73","Gelof, Zack",680869,679525,"home_run","hit_into_play",,,,,7,"Zack Gelof homers (6) on a fly ball to left field.   Tyler Nevin scores.    Lawrence Butler scores.","R","R","R","OAK","KC","X",,"fly_ball",2,0,2024,"0.78","-0.38","-0.36","2.05",663527,671732,,0,4,"Bot",12.61,86.09,,,666023,,,2.326219783827936,-121.84816351608787,-1.3252404507090079,7.284433675594028,24.77124410229063,-35.86368975402182,"3.44","1.54",393,"105",29,"83.3",2421,"6.1",745650,679525,666023,521692,679845,672580,677951,641658,664728,676369,"54.41",0.886,1.777,"2",1,0,3,6,35,3,"Slider",4,2,4,2,2,7,7,2,"Strategic","Standard",52,"0.069","1.375",74.4766718182021,"7.67661"
"SI","2024-06-18","95.2","-1.35","5.53","Herrera, Iván",671056,682610,"field_out","hit_into_play",,,,,5,"Iván Herrera lines out sharply to right fielder Bryan De La Cruz.","R","R","R","MIA","STL","X",9,"line_drive",1,0,2024,"-1.49","0.4","0","2.06",,,,2,4,"Top",189.08,71.78,,,542194,,,6.836272091086261,-138.35317738039979,-4.3065946664649735,-20.62814490493759,33.032607132539226,-26.205656698023084,"3.29","1.47",351,"103.4",20,"94.4",2294,"6",746049,682610,542194,605137,672640,669394,641313,624503,665862,650559,"54.45",0.551,0.735,"0",1,0,0,5,38,2,"Sinker",4,7,7,4,7,4,7,4,"Standard","Standard",226,"0.006","-0.109",78.5760454861847,"7.44369"
"SL","2024-06-18","82.9","-2.3","5.51","Horwitz, Spencer",687462,656557,"field_out","hit_into_play",,,,,8,"Spencer Horwitz flies out sharply to center fielder Jarren Duran.","R","L","R","TOR","BOS","X",8,"fly_ball",1,1,2024,"1.42","-0.22","-0.01","1.68",,,,1,5,"Bot",129.92,43.48,,,624512,,,2.4241449437196945,-120.5981941854321,-1.7601782541991642,13.159986280665139,26.35438428834317,-34.12721760546344,"3.61","1.65",384,"100.4",27,"81.4",2540,"5.6",744917,656557,624512,642086,665839,646240,678882,608701,680776,641933,"54.95",0.551,0.915,"0",1,0,0,6,39,3,"Slider",2,1,2,1,1,2,2,1,"Standard","Standard",59,"-0.015","-0.159",72.36023141543743,"7.5044"
"FF","2024-06-18","91","-2.05","6.24","Jankowski, Travis",608671,622663,"field_out","hit_into_play",,,,,4,"Travis Jankowski flies out to center fielder Harrison Bader.","R","L","R","TEX","NYM","X",8,"fly_ball",0,1,2024,"-0.5","1.35","-0.59","2.86",,,,2,5,"Bot",118.6,53.8,,,682626,,,4.702567087818783,-132.36985732328924,-5.422260971877025,-6.928667064374565,28.9480726617607,-15.332281322948594,"3.5","1.65",361,"94.3",27,"90.2",2166,"5.9",745004,622663,682626,624413,643446,668901,596019,607043,664056,516782,"54.63",0.151,0.193,"0",1,0,0,3,43,2,"4-Seam Fastball",6,2,6,2,2,6,6,2,"Standard","Standard",209,"-0.002","-0.08",66.97919795221924,"6.72321"
